,country_name,country_iso,region,subregion,latlng
0,Afghanistan,AFG,Asia,Southern Asia,"[33.0, 65.0]"
1,Åland Islands,ALA,Europe,Northern Europe,"[60.116667, 19.9]"
2,Albania,ALB,Europe,Southern Europe,"[41.0, 20.0]"
3,Algeria,DZA,Africa,Northern Africa,"[28.0, 3.0]"
4,American Samoa,ASM,Oceania,Polynesia,"[-14.33333333, -170.0]"
5,Andorra,AND,Europe,Southern Europe,"[42.5, 1.5]"
6,Angola,AGO,Africa,Middle Africa,"[-12.5, 18.5]"
7,Anguilla,AIA,Americas,Caribbean,"[18.25, -63.16666666]"
8,Antarctica,ATA,Polar,Antarctica,"[-74.65, 4.48]"
9,Antigua and Barbuda,ATG,Americas,Caribbean,"[17.05, -61.8]"
10,Argentina,ARG,Americas,South America,"[-34.0, -64.0]"
11,Armenia,ARM,Asia,Western Asia,"[40.0, 45.0]"
12,Aruba,ABW,Americas,Caribbean,"[12.5, -69.96666666]"
13,Australia,AUS,Oceania,Australia and New Zealand,"[-27.0, 133.0]"
14,Austria,AUT,Europe,Central Europe,"[47.33333333, 13.33333333]"
15,Azerbaijan,AZE,Asia,Western Asia,"[40.5, 47.5]"
16,Bahamas,BHS,Americas,Caribbean,"[24.25, -76.0]"
17,Bahrain,BHR,Asia,Western Asia,"[26.0, 50.55]"
18,Bangladesh,BGD,Asia,Southern Asia,"[24.0, 90.0]"
19,Barbados,BRB,Americas,Caribbean,"[13.16666666, -59.53333333]"
20,Belarus,BLR,Europe,Eastern Europe,"[53.0, 28.0]"
21,Belgium,BEL,Europe,Western Europe,"[50.83333333, 4.0]"
22,Belize,BLZ,Americas,Central America,"[17.25, -88.75]"
23,Benin,BEN,Africa,Western Africa,"[9.5, 2.25]"
24,Bermuda,BMU,Americas,Northern America,"[32.33333333, -64.75]"
25,Bhutan,BTN,Asia,Southern Asia,"[27.5, 90.5]"
26,Bolivia (Plurinational State of),BOL,Americas,South America,"[-17.0, -65.0]"
27,"Bonaire, Sint Eustatius and Saba",BES,Americas,Caribbean,"[12.15, -68.266667]"
28,Bosnia and Herzegovina,BIH,Europe,Southern Europe,"[44.0, 18.0]"
29,Botswana,BWA,Africa,Southern Africa,"[-22.0, 24.0]"
30,Bouvet Island,BVT,Antarctic Ocean,South Antarctic Ocean,"[-54.43333333, 3.4]"
31,Brazil,BRA,Americas,South America,"[-10.0, -55.0]"
32,British Indian Ocean Territory,IOT,Africa,Eastern Africa,"[-6.0, 71.5]"
33,United States Minor Outlying Islands,UMI,Americas,Northern America,
34,Virgin Islands (British),VGB,Americas,Caribbean,"[18.431383, -64.62305]"
35,Virgin Islands (U.S.),VIR,Americas,Caribbean,"[18.34, -64.93]"
36,Brunei Darussalam,BRN,Asia,South-Eastern Asia,"[4.5, 114.66666666]"
37,Bulgaria,BGR,Europe,Eastern Europe,"[43.0, 25.0]"
38,Burkina Faso,BFA,Africa,Western Africa,"[13.0, -2.0]"
39,Burundi,BDI,Africa,Eastern Africa,"[-3.5, 30.0]"
40,Cambodia,KHM,Asia,South-Eastern Asia,"[13.0, 105.0]"
41,Cameroon,CMR,Africa,Middle Africa,"[6.0, 12.0]"
42,Canada,CAN,Americas,Northern America,"[60.0, -95.0]"
43,Cabo Verde,CPV,Africa,Western Africa,"[16.0, -24.0]"
44,Cayman Islands,CYM,Americas,Caribbean,"[19.5, -80.5]"
45,Central African Republic,CAF,Africa,Middle Africa,"[7.0, 21.0]"
46,Chad,TCD,Africa,Middle Africa,"[15.0, 19.0]"
